A,B,C,State,County,Municipality,Zip,Area,D,E,F,State_dest,County_dest,Municipality_dest,Zip_dest,Area_dest,Mode,Number,MOE
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,1,59735,Massachusetts,Barnstable County,Sandwich town,12700,"Barnstable Town, MA ","Car, truck, or van: Drove alone",36,32
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",364,137
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",10,15
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",Other travel mode,240,111
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",26,31
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,16425,Massachusetts,Bristol County,Dartmouth town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",671,154
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,16425,Massachusetts,Bristol County,Dartmouth town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",47,46
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,22130,Massachusetts,Bristol County,Fairhaven town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",314,129
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,22130,Massachusetts,Bristol County,Fairhaven town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",23,26
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,23000,Massachusetts,Bristol County,Fall River city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",58,43
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,25240,Massachusetts,Bristol County,Freetown town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",88,84
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone","1,497",306
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",56,47
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ",Other travel mode,18,20
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,46575,Massachusetts,Bristol County,North Attleborough town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",47,46
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,56060,Massachusetts,Bristol County,Raynham town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",122,81
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,69170,Massachusetts,Bristol County,Taunton city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",89,59
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,8085,Massachusetts,Plymouth County,Bridgewater town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",106,100
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,33920,Massachusetts,Plymouth County,Lakeville town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",46,39
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,38540,Massachusetts,Plymouth County,Marion town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",42,42
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,38540,Massachusetts,Plymouth County,Marion town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",17,29
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,39450,Massachusetts,Plymouth County,Mattapoisett town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",44,35
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,40850,Massachusetts,Plymouth County,Middleborough town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",30,31
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,54310,Massachusetts,Plymouth County,Plymouth town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",44,37
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,57600,Massachusetts,Plymouth County,Rochester town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",44,38
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,72985,Massachusetts,Plymouth County,Wareham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",102,57
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,23,72985,Massachusetts,Plymouth County,Wareham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",9,16
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,25,7000,Massachusetts,Suffolk County,Boston city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",84,58
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,25,7000,Massachusetts,Suffolk County,Boston city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",28,34
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,25,7000,Massachusetts,Suffolk County,Boston city,14460,"Boston-Cambridge-Newton, MA-NH ",Public transportation,48,73
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",44,7,22960,Rhode Island,Providence County,East Providence city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",42,45
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",44,7,59000,Rhode Island,Providence County,Providence city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",58,71
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",44,7,59000,Rhode Island,Providence County,Providence city,39300,"Providence-Warwick, RI-MA ",Other travel mode,9,14
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",55,59
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone","3,979",391
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",308,128
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",Public transportation,39,60
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",Other travel mode,921,269
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,16425,Massachusetts,Bristol County,Dartmouth town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",50,41
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,16950,Massachusetts,Bristol County,Dighton town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",107,82
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,20100,Massachusetts,Bristol County,Easton town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",145,104
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,22130,Massachusetts,Bristol County,Fairhaven town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",54,57
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,23000,Massachusetts,Bristol County,Fall River city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",242,110
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,23000,Massachusetts,Bristol County,Fall River city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",12,21
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,38225,Massachusetts,Bristol County,Mansfield town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",924,234
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,38225,Massachusetts,Bristol County,Mansfield town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",208,125
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",168,80
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",16,26
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ",Public transportation,15,24
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,46575,Massachusetts,Bristol County,North Attleborough town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone","1,215",264
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,46575,Massachusetts,Bristol County,North Attleborough town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",227,147
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,46575,Massachusetts,Bristol County,North Attleborough town,39300,"Providence-Warwick, RI-MA ",Public transportation,43,36
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,46575,Massachusetts,Bristol County,North Attleborough town,39300,"Providence-Warwick, RI-MA ",Other travel mode,21,35
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,49970,Massachusetts,Bristol County,Norton town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",382,142
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,49970,Massachusetts,Bristol County,Norton town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",68,61
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,49970,Massachusetts,Bristol County,Norton town,39300,"Providence-Warwick, RI-MA ",Public transportation,37,57
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,56060,Massachusetts,Bristol County,Raynham town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",55,46
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,56060,Massachusetts,Bristol County,Raynham town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",10,17
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,56375,Massachusetts,Bristol County,Rehoboth town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",36,53
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,60645,Massachusetts,Bristol County,Seekonk town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",91,74
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,69170,Massachusetts,Bristol County,Taunton city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",425,127
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,69170,Massachusetts,Bristol County,Taunton city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",45,40
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,5,69170,Massachusetts,Bristol County,Taunton city,39300,"Providence-Warwick, RI-MA ",Public transportation,12,19
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,9,1465,Massachusetts,Essex County,Andover town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",47,60
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,9840,Massachusetts,Middlesex County,Burlington town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",45,49
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,11000,Massachusetts,Middlesex County,Cambridge city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",77,59
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,11000,Massachusetts,Middlesex County,Cambridge city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",13,21
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,11000,Massachusetts,Middlesex County,Cambridge city,14460,"Boston-Cambridge-Newton, MA-NH ",Public transportation,61,58
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,24925,Massachusetts,Middlesex County,Framingham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",123,77
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,24925,Massachusetts,Middlesex County,Framingham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",40,29
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,31085,Massachusetts,Middlesex County,Hopkinton town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",63,55
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,37875,Massachusetts,Middlesex County,Malden city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",32,35
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,37875,Massachusetts,Middlesex County,Malden city,14460,"Boston-Cambridge-Newton, MA-NH ",Public transportation,8,13
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,38715,Massachusetts,Middlesex County,Marlborough city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",93,91
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,38715,Massachusetts,Middlesex County,Marlborough city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",11,19
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,45560,Massachusetts,Middlesex County,Newton city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",161,102
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,17,72600,Massachusetts,Middlesex County,Waltham city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",60,45
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,2935,Massachusetts,Norfolk County,Avon town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",46,37
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,4930,Massachusetts,Norfolk County,Bellingham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",38,39
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,7740,Massachusetts,Norfolk County,Braintree Town city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",132,91
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,9175,Massachusetts,Norfolk County,Brookline town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",71,58
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,11315,Massachusetts,Norfolk County,Canton town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",213,95
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,16495,Massachusetts,Norfolk County,Dedham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",114,62
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,24820,Massachusetts,Norfolk County,Foxborough town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",695,221
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,24820,Massachusetts,Norfolk County,Foxborough town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",59,58
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,24820,Massachusetts,Norfolk County,Foxborough town,14460,"Boston-Cambridge-Newton, MA-NH ",Other travel mode,15,25
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,25172,Massachusetts,Norfolk County,Franklin Town city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",214,105
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,25172,Massachusetts,Norfolk County,Franklin Town city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",72,69
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,39975,Massachusetts,Norfolk County,Medway town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",26,24
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,46050,Massachusetts,Norfolk County,Norfolk town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",114,101
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,50250,Massachusetts,Norfolk County,Norwood town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",498,149
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,50250,Massachusetts,Norfolk County,Norwood town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",21,27
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,50250,Massachusetts,Norfolk County,Norwood town,14460,"Boston-Cambridge-Newton, MA-NH ",Public transportation,25,39
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,54100,Massachusetts,Norfolk County,Plainville town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",438,164
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,54100,Massachusetts,Norfolk County,Plainville town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",119,114
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,55745,Massachusetts,Norfolk County,Quincy city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",187,90
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,55745,Massachusetts,Norfolk County,Quincy city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",45,44
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,55955,Massachusetts,Norfolk County,Randolph town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",62,59
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,60785,Massachusetts,Norfolk County,Sharon town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",264,176
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,67945,Massachusetts,Norfolk County,Stoughton town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",97,63
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,72495,Massachusetts,Norfolk County,Walpole town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",324,116
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,72495,Massachusetts,Norfolk County,Walpole town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",68,68
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,74175,Massachusetts,Norfolk County,Wellesley town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",84,65
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,78690,Massachusetts,Norfolk County,Westwood town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",137,71
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,78690,Massachusetts,Norfolk County,Westwood town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",15,29
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,82315,Massachusetts,Norfolk County,Wrentham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",276,95
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,21,82315,Massachusetts,Norfolk County,Wrentham town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",20,33
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,9000,Massachusetts,Plymouth County,Brockton city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",154,100
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,9000,Massachusetts,Plymouth County,Brockton city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",21,25
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,33920,Massachusetts,Plymouth County,Lakeville town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",26,30
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,33920,Massachusetts,Plymouth County,Lakeville town,14460,"Boston-Cambridge-Newton, MA-NH ",Other travel mode,17,27
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,40850,Massachusetts,Plymouth County,Middleborough town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",45,42
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,40850,Massachusetts,Plymouth County,Middleborough town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",29,39
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,50145,Massachusetts,Plymouth County,Norwell town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",19,23
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,50145,Massachusetts,Plymouth County,Norwell town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",9,14
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,23,54310,Massachusetts,Plymouth County,Plymouth town,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",139,117
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,25,7000,Massachusetts,Suffolk County,Boston city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Drove alone",839,211
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,25,7000,Massachusetts,Suffolk County,Boston city,14460,"Boston-Cambridge-Newton, MA-NH ","Car, truck, or van: Carpooled",37,34
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,25,7000,Massachusetts,Suffolk County,Boston city,14460,"Boston-Cambridge-Newton, MA-NH ",Public transportation,709,193
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,27,41165,Massachusetts,Worcester County,Milford town,49340,"Worcester, MA-CT ","Car, truck, or van: Drove alone",59,50
25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ",25,27,75015,Massachusetts,Worcester County,Westborough town,49340,"Worcester, MA-CT ","Car, truck, or van: Drove alone",37,39
